channel,verified,description,subscribers,url,date_accessed
Mothership.sg,True,"This is the official Telegram channel for Mothership, a community news service for Singaporeans. You can visit us @ https://mothership.sg. If you have a story to share, drop us a message @ m.me/MothershipSG.",130484,https://t.me/mothershipsg,210805
TODAY,True,Get the latest headlines from TODAY today 😉,39447,https://t.me/todayonlinesg,210805
Yahoo Singapore,False,Welcome to the official Telegram channel of Yahoo Singapore. Get the latest news and views sent directly to you. sg.yahoo.com,7750,https://t.me/YahooSingapore,210805
Gov.sg,True,Subscribe to receive important Government announcements and updates.,300600,https://t.me/Govsg,210805
Advisory,False,Empowering youths to make informed career and further education choices Drop us a query 📬 @advisorysupport_bot 🌐 advisory.sg🥳 advisory.sg/upcoming-events/,3287,https://t.me/advisory_sg,210805
The Workers’ Party,True,The Workers’ Party is a political party in Singapore that believes in giving power to the people.Our website can be found at http://wp.sg,9334,https://t.me/SgWPsg,210805
OPEN JIO🤗,False,"Hello! 👋We seek to ignite people’s curiosity in social issues, and create a learning community of people who care. Stay OPEN & JIO ur friends!😊",4555,https://t.me/OpenJio,210805
The Qurrent: Weekly Updates by Prout,False,Get updates on LGBTQ+ news and events in Asia every Monday and Thursday. All while maintaining your privacy - no one will know you’re in here. 😉,3464,https://t.me/proutapp,210805
GovTechBytes,False,"Byte-sized #TechforPublicGood stories, events, job alerts and more! 😎Brought to you by Government Technology Agency of Singapore.Follow us on social media for the latest news go.gov.sg/connectwithgovtech",4761,https://t.me/govtechbytes,210805
SG Arts Channel 🎨,False,The SG Art & Culture Scene now on telegram!We hope to build an appreciation for art and culture.Group Chat: t.me/SGACfolksIG: bit.ly/SGACONIGTo list: https://forms.gle/5m7Q73spth4AyqPRAFeedback: https://forms.gle/bsprFgMiu2LsXceJ9,2244,https://t.me/SGArtsChannel,210805
People’s Action Party,True,"Your official source of information on the People’s Action Party, Singapore.We’re also on:IG @papsingapore FB @pap.sg🖥: https://www.pap.org.sgPublished by and at the direction of the People’s Action Party",3977,https://t.me/papsingapore,210805
Volunteer Jio,False,,1211,https://t.me/VolunteerJio,210805
Singapore Votes,False,Welcome to Singapore Votes!We are a political resource for the people of Singapore.We believe that accessible information is vital to citizens and to politics.Facebook/Instagram: @SingaporeVotesTwitter: @Singapore_Votes,423,https://t.me/sgvotes2020,210805
Mutual Aid and Community Solidarity – wares,False,Broadcasting updates from the mutual aid coordination sheet by wares infoshop library.Spreadsheet:tinyurl.com/waresmutualaidContact us: waresnotwarehouses@gmail.com,1708,https://t.me/waresmutualaid,210805
New Naratif (English),False,"In this channel, we share links to English content (longform journalism, research articles, comics, podcasts) produced by New Naratif. Feel to share/forward the links!Join New Naratif at https://newnaratif.com/join",793,https://t.me/newnaratifenglish,210805
Singapore Film Society,False,"For film buffs, by film buffs.Follow us on IG/FB @singaporefilmsociety",805,https://t.me/singaporefilmsociety,210805
SG🇸🇬 Suspected Vaccine Injuries Channel,False,Reaching out to vaccine-injured Singaporeans for the #truthlink to Group Discussions https://t.me/SGVaxInjuries📧 SGVaccineInjuries@protonmail.com,8674,https://t.me/SGVaccineInjuries,210805
SG🇸🇬 Suspected Vaccine Injuries Group,False,Group objectives: Discussion platform ONLY for local vaccine injury cases.Collation of Local Injury Cases:  @SGVaccineInjuriesLocal Covid group discussions: @SGCovidDiscussion🖱Website: truthwarriors.info 📧Email: Sgvaccineinjuries@protonmail.com,9502,https://t.me/SGVaxInjuries,210805
Lee Hsien Loong,True,"Official Telegram channel of Mr Lee Hsien Loong, Prime Minister of Singapore, and leader of the People’s Action Party. This channel is managed by the Prime Minister’s Office.",19379,https://t.me/leehsienloong,210805
The Straits Times,True,Stay in the know with the latest news from Singapore and around the world.,155032,https://t.me/TheStraitsTimes,210805
