channel,verified,description,subscribers,type,url,date_accessed
Gov.sg,True,Subscribe to receive important Government announcements and updates.,300679,channel,https://t.me/Govsg,210811
GoodLobang👍,False,Feedback & Deals sharing ⬇️🖋http://bit.ly/goodlobang Instagram account ⬇️📷 https://instagram.com/goodlobangsgContent submissions ⬇️👩‍💻 content@confirmgood.comCorporate request ⬇️👩‍💻 hello@confirmgood.com,187379,channel,https://t.me/goodlobang,210811
SG Kiasu Foodies [Discounts/Promos],False,Deals you actually want. 🍔 Submit a deal: bit.ly/3erke1B💛 Contact us:hello@kiasufoodies.com🐤 Join our community:@kiasupoliceWant more deals from us? Join @kiasukakis,174228,channel,https://t.me/KiasuFoodies,210811
CNA,True,Top stories from CNA https://cna.asia,164916,channel,https://t.me/CNALatest,210811
The Straits Times,True,Stay in the know with the latest news from Singapore and around the world.,156400,channel,https://t.me/TheStraitsTimes,210811
Mothership.sg,True,"This is the official Telegram channel for Mothership, a community news service for Singaporeans. You can visit us @ https://mothership.sg. If you have a story to share, drop us a message @ m.me/MothershipSG.",131531,channel,https://t.me/mothershipsg,210811
SG Part Timers #Snatchjobs 🇸🇬,False,Best quality Part Time Job channel of Singapore 🇸🇬Dedicated to ease your job selecting process at your convenience 💪👨‍💻Admin👨‍💻@Willionaire872🤝Associated🤝@sgfulltimers ⬅️ For Full time Career 🧑‍💼👨‍💼Share it with your friends!,114503,channel,https://t.me/SGPartTimers,210811
SG Food Deals,False,A Telegram channel for foodies with the latest food promotions and discounts in Singapore.👉 Feedback/Enquiry: bit.ly/sgfooddealsform,107921,channel,https://t.me/sgfooddeals,210811
Singapore Part Time Jobs,False,"Looking for enthusiastic, responsible and joyous Part Timers to hop on board this wagon!Share the link below and dont let your friends around you miss out on the most popular part-time job channel in SG!",72035,channel,https://t.me/SingaporePartTimeJobs,210811
🇸🇬 SG Hitch 👋 = 🚗 | 🛵 | 🚌 Singapore,False,SGHitch serves as a bridge between DRIVERs & HITCHERs to provide a CHEAPER alternative with the demolition of late night Grab Hitch services.✔️Willing Drivers✔️Willing Hitchers❌Else pls leave or be removedStarted: 26/2/19Feature by ST: goo.gl/9XiRnx,67814,group,https://t.me/SGHitch,210811
SG House Of Jobs,False,Welcome to House of Jobs 🏠 We dedicate our time to find the highest quality of jobs for you! Contact @jasmine9801 for any job postings.New posters please register here: http://bit.ly/reghojHappy hunting and recruiting! ❤️,64256,channel,https://t.me/houseofjobs,210811
[SG] Grab/Taxi 🚕,False,💬 Got lobang must share! 👨‍👩‍👧‍👦▶️ We help you stay updated on the latest available cab promotions/promo codes!,55984,channel,https://t.me/sgcabpromos,210811
SG Weekend Plans,False,A constantly updated list of new things to do so you always spend your weekends well!👉 Feedback/Enquiry: bit.ly/SGweekendform,55431,channel,https://t.me/sgweekend,210811
dateideas Singapore,False,"Unique experiences, precious memories. 💓Download our App:bit.ly/diAppDownloadFollow us on IG! instagram.com/dateideassgFor merchants:bit.ly/diPartnerUsContribute an interesting dateidea:bit.ly/DIcontributionQueries/Feedback@dateideassg",49999,channel,https://t.me/dateideas,210811
Seedly Personal Finance SG,False,"Here’s financial info that every Singaporean millennial needs to know, from your friendly neighbourhood Seedly.sgPromise we won’t judge, we just want to help! 👻INVITE YOUR FRIENDS! ➡️ t.me/personalfinancesg",48615,channel,https://t.me/PersonalFinanceSG,210811
SG Travel Promos,False,"We keep you updated on the latest travel deals, discounts and promotions in Singapore! 🇸🇬 From airline tickets, travel activities to overseas accommodations. ✈️Feedback/Enquiry: bit.ly/sgtravelpromosform",47481,channel,https://t.me/sgtravelpromos,210811
SG Food Lobang👍,False,Open Channel For Food SharingIf you are a F&B brand with a great offer kindly email us at sgoodlobang@gmail.com for more exposure!,43551,channel,https://t.me/SGFoodLobang,210811
MS News,False,,40148,channel,https://t.me/MustShareNews,210811
TODAY,True,Get the latest headlines from TODAY today 😉,39617,channel,https://t.me/todayonlinesg,210811
SG Budget Babes,False,Bringing you the latest beauty and fashion promotions and product releases you can’t miss in Singapore. 💋✨Feedback/Enquiry: http://bit.ly/sgbudgetbabesform,38633,channel,https://t.me/BudgetBabes,210811
SG Student Promos,False,A dedicated group for students with affordable deals so you never have to burn a hole in your pocket.👉 Feedback/Enquiry: bit.ly/sgstudentpromosform,38452,channel,https://t.me/sgstudentpromos,210811
