channel,verified,description,subscribers,type,url,date_accessed
Gov.sg,True,Subscribe to receive important Government announcements and updates.,300764,channel,https://t.me/Govsg,210808
GoodLobang👍,False,Feedback & Deals sharing ⬇️🖋http://bit.ly/goodlobang Instagram account ⬇️📷 https://instagram.com/goodlobangsgContent submissions ⬇️👩‍💻 content@confirmgood.comCorporate request ⬇️👩‍💻 hello@confirmgood.com,187240,channel,https://t.me/goodlobang,210808
SG Kiasu Foodies [Discounts/Promos],False,Deals you actually want. 🍔 Submit a deal: bit.ly/3erke1B💛 Contact us:hello@kiasufoodies.com🐤 Join our community:@kiasupoliceWant more deals from us? Join @kiasukakis,174112,channel,https://t.me/KiasuFoodies,210808
CNA,True,Top stories from CNA https://cna.asia,164758,channel,https://t.me/CNALatest,210808
The Straits Times,True,Stay in the know with the latest news from Singapore and around the world.,155910,channel,https://t.me/TheStraitsTimes,210808
Mothership.sg,True,"This is the official Telegram channel for Mothership, a community news service for Singaporeans. You can visit us @ https://mothership.sg. If you have a story to share, drop us a message @ m.me/MothershipSG.",131118,channel,https://t.me/mothershipsg,210808
SG Part Timers #Snatchjobs 🇸🇬,False,Best quality Part Time Job channel of Singapore 🇸🇬Dedicated to ease your job selecting process at your convenience 💪👨‍💻Admin👨‍💻@Willionaire872🤝Associated🤝@sgfulltimers ⬅️ For Full time Career 🧑‍💼👨‍💼Share it with your friends!,114840,channel,https://t.me/SGPartTimers,210808
SG Food Deals,False,A Telegram channel for foodies with the latest food promotions and discounts in Singapore.👉 Feedback/Enquiry: bit.ly/sgfooddealsform,107671,channel,https://t.me/sgfooddeals,210808
Singapore Part Time Jobs,False,"Looking for enthusiastic, responsible and joyous Part Timers to hop on board this wagon!Share the link below and dont let your friends around you miss out on the most popular part-time job channel in SG!",72084,channel,https://t.me/SingaporePartTimeJobs,210808
🇸🇬 SG Hitch 👋 = 🚗 | 🛵 | 🚌 Singapore,False,SGHitch serves as a bridge between DRIVERs & HITCHERs to provide a CHEAPER alternative with the demolition of late night Grab Hitch services.✔️Willing Drivers✔️Willing Hitchers❌Else pls leave or be removedStarted: 26/2/19Feature by ST: goo.gl/9XiRnx,67945,group,https://t.me/SGHitch,210808
SG House Of Jobs,False,Welcome to House of Jobs 🏠 We dedicate our time to find the highest quality of jobs for you! Contact @jasmine9801 for any job postings.New posters please register here: http://bit.ly/reghojHappy hunting and recruiting! ❤️,57136,channel,https://t.me/houseofjobs,210808
